item_id,programme_id,level,item_name,part
CS1-L9,CS1,9,While-True Loops,
CS1-L10,CS1,10,While-True Loops,
CS1-L11,CS1,11,While-True Loops,
CS1-L12,CS1,12,While-True Loops,
CS1-L13,CS1,13,While-True Loops,
CS1-L14,CS1,14,While-True Loops,
CS1-L15,CS1,15,Variables,
CS1-L16,CS1,16,Variables,
CS1-L17,CS1,17,Variables,
CS1-L18,CS1,18,Variables,
CS1-L19,CS1,19,Variables,
CS1-L20,CS1,20,Variables,
CS1-L21,CS1,21,Variables,
CS1-L22,CS1,22,Variables,
CS1-L23,CS1,23,Variables,
CS1-L24,CS1,24,Variables,
CS1-L25,CS1,25,Variables,
CS1-L26,CS1,26,Variables,
CS1-L27,CS1,27,Variables,
CS1-L28,CS1,28,Variables,
CS1-L29,CS1,29,Variables,
CS1-L30,CS1,30,Variables,
CS1-L31,CS1,31,Multiplayer Capstone Arena,
CS2-L1,CS2,1,Variables,
CS2-L2,CS2,2,Variables,
CS2-L3,CS2,3,Basic Arithmetic,
CS2-L4,CS2,4,Basic Arithmetic,
CS2-L5,CS2,5,Basic Arithmetic,
CS2-L6,CS2,6,Basic Arithmetic,
CS2-L7,CS2,7,Basic Arithmetic,
CS2-L8,CS2,8,Basic Arithmetic,
CS2-L9,CS2,9,Basic Arithmetic,
CS2-L10,CS2,10,Basic Arithmetic,
CS2-L11,CS2,11,If Statements,
CS2-L12,CS2,12,If Statements,
CS2-L13,CS2,13,If Statements,
CS2-L14,CS2,14,If Statements,
CS2-L15,CS2,15,If Statements,
CS2-L16,CS2,16,If Statements,
CS2-L17,CS2,17,If Statements,
CS2-L18,CS2,18,Else Statements,
CS2-L19,CS2,19,Else Statements,
CS2-L20,CS2,20,Else Statements,
CS2-L21,CS2,21,Else Statements,
CS2-L22,CS2,22,Compound Logic,
CS2-L23,CS2,23,Compound Logic,
CS2-L24,CS2,24,Compound Logic,
CS2-L25,CS2,25,Compound Logic,
CS2-L26,CS2,26,Nested Conditionals,
CS2-L27,CS2,27,Nested Conditionals,
CS2-L28,CS2,28,Nested Conditionals,
CS2-L29,CS2,29,Nested Conditionals,
CS2-L30,CS2,30,Nested Conditionals,
CS2-L31,CS2,31,Nested Conditionals,
CS2-L32,CS2,32,Nested Conditionals,
CS2-L33,CS2,33,Nested Conditionals,
CS2-L34,CS2,34,Nested Conditionals,
