item_id,programme_id,programme_name,kit,level,sequence,item_name
ROB-Level 1-11.0,ROB-Level 1,ROBOKIT Level 1,ROBOKIT,Level 1,11.0,SnailBot
ROB-Level 1-12.0,ROB-Level 1,ROBOKIT Level 1,ROBOKIT,Level 1,12.0,BattleBot
ROB-Level 2-1.0,ROB-Level 2,ROBOKIT Level 2,ROBOKIT,Level 2,1.0,KartBot
ROB-Level 2-2.0,ROB-Level 2,ROBOKIT Level 2,ROBOKIT,Level 2,2.0,TurtleBot
ROB-Level 2-3.0,ROB-Level 2,ROBOKIT Level 2,ROBOKIT,Level 2,3.0,ServoBot
ROB-Level 2-4.0,ROB-Level 2,ROBOKIT Level 2,ROBOKIT,Level 2,4.0,AttackBot
ROB-Level 2-5.0,ROB-Level 2,ROBOKIT Level 2,ROBOKIT,Level 2,5.0,AvoidBot
ROB-Level 2-6.0,ROB-Level 2,ROBOKIT Level 2,ROBOKIT,Level 2,6.0,CanBot
ROB-Level 2-7.0,ROB-Level 2,ROBOKIT Level 2,ROBOKIT,Level 2,7.0,FortressBot
ROB-Level 2-8.0,ROB-Level 2,ROBOKIT Level 2,ROBOKIT,Level 2,8.0,TractorBot
ROB-Level 2-9.0,ROB-Level 2,ROBOKIT Level 2,ROBOKIT,Level 2,9.0,AxeBot
ROB-Level 2-10.0,ROB-Level 2,ROBOKIT Level 2,ROBOKIT,Level 2,10.0,LoaderBot
ROB-Level 2-11.0,ROB-Level 2,ROBOKIT Level 2,ROBOKIT,Level 2,11.0,GrabBot
ROB-Level 2-12.0,ROB-Level 2,ROBOKIT Level 2,ROBOKIT,Level 2,12.0,FutureBot
ROB-Level 3-1.0,ROB-Level 3,ROBOKIT Level 3,ROBOKIT,Level 3,1.0,InvertBot
ROB-Level 3-2.0,ROB-Level 3,ROBOKIT Level 3,ROBOKIT,Level 3,2.0,CombatBot
ROB-Level 3-3.0,ROB-Level 3,ROBOKIT Level 3,ROBOKIT,Level 3,3.0,FrogBot
ROB-Level 3-4.0,ROB-Level 3,ROBOKIT Level 3,ROBOKIT,Level 3,4.0,LancerBot
ROB-Level 3-5.0,ROB-Level 3,ROBOKIT Level 3,ROBOKIT,Level 3,5.0,JeepBot
ROB-Level 3-6.0,ROB-Level 3,ROBOKIT Level 3,ROBOKIT,Level 3,6.0,CannoBot
ROB-Level 3-7.0,ROB-Level 3,ROBOKIT Level 3,ROBOKIT,Level 3,7.0,DinoBot
ROB-Level 3-8.0,ROB-Level 3,ROBOKIT Level 3,ROBOKIT,Level 3,8.0,TornadoBot
ROB-Level 3-9.0,ROB-Level 3,ROBOKIT Level 3,ROBOKIT,Level 3,9.0,SuperbikeBot
ROB-Level 3-10.0,ROB-Level 3,ROBOKIT Level 3,ROBOKIT,Level 3,10.0,ClimbBot
ROB-Level 3-11.0,ROB-Level 3,ROBOKIT Level 3,ROBOKIT,Level 3,11.0,LarvaBot
ROB-Level 3-12.0,ROB-Level 3,ROBOKIT Level 3,ROBOKIT,Level 3,12.0,FutureBot
ROB-Level 4-1.0,ROB-Level 4,ROBOKIT Level 4,ROBOKIT,Level 4,1.0,SoccerBot
ROB-Level 4-2.0,ROB-Level 4,ROBOKIT Level 4,ROBOKIT,Level 4,2.0,DiceBot
ROB-Level 4-3.0,ROB-Level 4,ROBOKIT Level 4,ROBOKIT,Level 4,3.0,SpikeBot
ROB-Level 4-4.0,ROB-Level 4,ROBOKIT Level 4,ROBOKIT,Level 4,4.0,BugBot
ROB-Level 4-5.0,ROB-Level 4,ROBOKIT Level 4,ROBOKIT,Level 4,5.0,FormulaBot
ROB-Level 4-6.0,ROB-Level 4,ROBOKIT Level 4,ROBOKIT,Level 4,6.0,TopBot
ROB-Level 4-7.0,ROB-Level 4,ROBOKIT Level 4,ROBOKIT,Level 4,7.0,BoxingBot
ROB-Level 4-8.0,ROB-Level 4,ROBOKIT Level 4,ROBOKIT,Level 4,8.0,SpaceBot
ROB-Level 4-9.0,ROB-Level 4,ROBOKIT Level 4,ROBOKIT,Level 4,9.0,DragonBot
ROB-Level 5-1.0,ROB-Level 5,ROBOKIT Level 5,ROBOKIT,Level 5,1.0,RifleBot
ROB-Level 5-2.0,ROB-Level 5,ROBOKIT Level 5,ROBOKIT,Level 5,2.0,SupergrabBot
ROB-Level 5-3.0,ROB-Level 5,ROBOKIT Level 5,ROBOKIT,Level 5,3.0,SupertankBot
ROB-Level 5-4.0,ROB-Level 5,ROBOKIT Level 5,ROBOKIT,Level 5,4.0,VikingBot
